 ------------------------------------------------- ---------- -------- ------ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ------------------------------------------------------ 
  Name                                              Method     Scheme   Host   Path                                                                                                                                                                                                                                                                                                      Controller                                            
 ------------------------------------------------- ---------- -------- ------ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ------------------------------------------------------ 
  _wdt                                              ANY        ANY      ANY    /_wdt/{token}                                                                                                                                                                                                                                                                                             web_profiler.controller.profiler:toolbarAction        
  _profiler_home                                    ANY        ANY      ANY    /_profiler/                                                                                                                                                                                                                                                                                               web_profiler.controller.profiler:homeAction           
  _profiler_search                                  ANY        ANY      ANY    /_profiler/search                                                                                                                                                                                                                                                                                         web_profiler.controller.profiler:searchAction         
  _profiler_search_bar                              ANY        ANY      ANY    /_profiler/search_bar                                                                                                                                                                                                                                                                                     web_profiler.controller.profiler:searchBarAction      
  _profiler_phpinfo                                 ANY        ANY      ANY    /_profiler/phpinfo                                                                                                                                                                                                                                                                                        web_profiler.controller.profiler:phpinfoAction        
  _profiler_search_results                          ANY        ANY      ANY    /_profiler/{token}/search/results                                                                                                                                                                                                                                                                         web_profiler.controller.profiler:searchResultsAction  
  _profiler_open_file                               ANY        ANY      ANY    /_profiler/open                                                                                                                                                                                                                                                                                           web_profiler.controller.profiler:openAction           
  _profiler                                         ANY        ANY      ANY    /_profiler/{token}                                                                                                                                                                                                                                                                                        web_profiler.controller.profiler:panelAction          
  _profiler_router                                  ANY        ANY      ANY    /_profiler/{token}/router                                                                                                                                                                                                                                                                                 web_profiler.controller.router:panelAction            
  _profiler_exception                               ANY        ANY      ANY    /_profiler/{token}/exception                                                                                                                                                                                                                                                                              web_profiler.controller.exception:showAction          
  _profiler_exception_css                           ANY        ANY      ANY    /_profiler/{token}/exception.css                                                                                                                                                                                                                                                                          web_profiler.controller.exception:cssAction           
  _twig_error_test                                  ANY        ANY      ANY    /_error/{code}.{_format}                                                                                                                                                                                                                                                                                  twig.controller.preview_error:previewErrorPageAction  
  api_v1_home_citoyen                               GET        ANY      ANY    /api/article/citzen/home/{page}/{limit}.{_format}                                                                                                                                                                                                                                                         ApiBundle:Article:citzenHome                          
  api_v1_article_association_list                   GET        ANY      ANY    /api/article/{id}/association/{page}/{limit}.{_format}                                                                                                                                                                                                                                                    ApiBundle:Article:associations                        
  api_v1_article_merchant_list                      GET        ANY      ANY    /api/article/{id}/merchant/{page}/{limit}.{_format}                                                                                                                                                                                                                                                       ApiBundle:Article:merchants                           
  api_v1_article_activate                           GET        ANY      ANY    /api/article/{id}/activate.{_format}                                                                                                                                                                                                                                                                      ApiBundle:Article:activate                            
  api_v1_article_deactivate                         GET        ANY      ANY    /api/article/{id}/deactivate.{_format}                                                                                                                                                                                                                                                                    ApiBundle:Article:deactivate                          
  api_v1_new_article                                POST       ANY      ANY    /api/article/new/{type}/{id}.{_format}                                                                                                                                                                                                                                                                    ApiBundle:Article:new                                 
  api_v1_update_article                             POST       ANY      ANY    /api/article/{id}/update.{_format}                                                                                                                                                                                                                                                                        ApiBundle:Article:update                              
  api_v1_article_view                               GET        ANY      ANY    /api/article/view/{id}.{_format}                                                                                                                                                                                                                                                                          ApiBundle:Article:view                                
  api_v1_new_entrenous                              POST       ANY      ANY    /api/article/entrenous.{_format}                                                                                                                                                                                                                                                                          ApiBundle:Article:entreNous                           
  api_v1_delete_article                             GET        ANY      ANY    /api/article/delete/{id}.{_format}                                                                                                                                                                                                                                                                        ApiBundle:Article:delete                              
  api_v1_wall_merchants                             GET        ANY      ANY    /api/article/merchant/city/{city}/category/{category}/wall/{page}/{limit}.{_format}                                                                                                                                                                                                                       ApiBundle:Article:merchantsWall                       
  api_v1_wall_associations                          GET        ANY      ANY    /api/article/association/city/{city}/category/{category}/wall/{page}/{limit}.{_format}                                                                                                                                                                                                                    ApiBundle:Article:associationsWall                    
  api_v1_wall_cityhall                              GET        ANY      ANY    /api/article/cityhall/city/{city}/wall/{page}/{limit}.{_format}                                                                                                                                                                                                                                           ApiBundle:Article:cityhallWall                        
  api_v1_wall_canteen                               GET        ANY      ANY    /api/article/cityhall/city/{city}/canteen/{page}/{limit}.{_format}                                                                                                                                                                                                                                        ApiBundle:Article:canteen                             
  api_v1_wall_citzens                               GET        ANY      ANY    /api/article/citzen/city/{city}/category/{category}/wall/{page}/{limit}.{_format}                                                                                                                                                                                                                         ApiBundle:Article:citzensWall                         
  api_v1_report_abuse                               POST       ANY      ANY    /api/article/report/abuse/{id}.{_format}                                                                                                                                                                                                                                                                  ApiBundle:Article:reportAbuse                         
  api_v1_article_like                               GET        ANY      ANY    /api/article/{id}/like.{_format}                                                                                                                                                                                                                                                                          ApiBundle:Article:like                                
  api_v1_article_unlike                             GET        ANY      ANY    /api/article/{id}/unlike.{_format}                                                                                                                                                                                                                                                                        ApiBundle:Article:unlike                              
  api_v1_article_likes                              GET        ANY      ANY    /api/article/{id}/likes.{_format}                                                                                                                                                                                                                                                                         ApiBundle:Article:likes                               
  api_v1_comment_article_new                        POST       ANY      ANY    /api/comment/article/{id}/{type}/new.{_format}                                                                                                                                                                                                                                                            ApiBundle:Comment:addArticleComment                   
  api_v1_comment_event_new                          POST       ANY      ANY    /api/comment/event/{id}/{type}/new.{_format}                                                                                                                                                                                                                                                              ApiBundle:Comment:addEventComment                     
  api_v1_comment_article_reply                      POST       ANY      ANY    /api/comment/{id}/{type}/article/reply.{_format}                                                                                                                                                                                                                                                          ApiBundle:Comment:articleCommentReply                 
